row,name,url,length,artist,album,cover
1,Honey Heartbeat,https://a.tumblr.com/tumblr_oroto1Hxq01vupy1do1.mp3,317,Amami Haruka,THE IDOLM@STER MASTER ARTIST 3 01 Amami Haruka,https://www.project-imas.com/w/images/3/3f/MASTER_ARTIST_3_01.jpg
2,Ice Candy,https://a.tumblr.com/tumblr_orotr8zgda1vupy1do1.mp3,223,Amami Haruka,THE IDOLM@STER MASTER ARTIST 3 01 Amami Haruka,https://www.project-imas.com/w/images/3/3f/MASTER_ARTIST_3_01.jpg
3,Kimi Channel,https://a.tumblr.com/tumblr_orots3pxyk1vupy1do1.mp3,248,Amami Haruka,THE IDOLM@STER MASTER ARTIST 3 01 Amami Haruka,https://www.project-imas.com/w/images/3/3f/MASTER_ARTIST_3_01.jpg
4,ONLY MY NOTE,https://a.tumblr.com/tumblr_orotsvuPoz1vupy1do1.mp3,251,Amami Haruka,THE IDOLM@STER MASTER ARTIST 3 01 Amami Haruka,https://www.project-imas.com/w/images/3/3f/MASTER_ARTIST_3_01.jpg
5,Suteki Happiness,https://a.tumblr.com/tumblr_orotn3sbJ71vupy1do1.mp3,234,Amami Haruka,THE IDOLM@STER MASTER ARTIST 3 01 Amami Haruka,https://www.project-imas.com/w/images/3/3f/MASTER_ARTIST_3_01.jpg
6,Tenshi no Enogu,https://a.tumblr.com/tumblr_orotqbybcL1vupy1do1.mp3,285,Amami Haruka,THE IDOLM@STER MASTER ARTIST 3 01 Amami Haruka,https://www.project-imas.com/w/images/3/3f/MASTER_ARTIST_3_01.jpg
7,Buzzstyle,https://a.tumblr.com/tumblr_orqkaa8df41vupy1do1.mp3,262,Ganaha Hibiki,THE IDOLM@STER MASTER ARTIST 3 02 Ganaha Hibiki ,https://www.project-imas.com/w/images/2/27/MASTER_ARTIST_3_02.jpg
8,Kazaguruma,https://a.tumblr.com/tumblr_orqk9cTHJ21vupy1do1.mp3,280,Ganaha Hibiki,THE IDOLM@STER MASTER ARTIST 3 02 Ganaha Hibiki ,https://www.project-imas.com/w/images/2/27/MASTER_ARTIST_3_02.jpg
9,Kimi Channel,https://a.tumblr.com/tumblr_orqkb7OCID1vupy1do1.mp3,249,Ganaha Hibiki,THE IDOLM@STER MASTER ARTIST 3 02 Ganaha Hibiki ,https://www.project-imas.com/w/images/2/27/MASTER_ARTIST_3_02.jpg
10,ONLY MY NOTE,https://a.tumblr.com/tumblr_orqkc5NsO71vupy1do1.mp3,251,Ganaha Hibiki,THE IDOLM@STER MASTER ARTIST 3 02 Ganaha Hibiki ,https://www.project-imas.com/w/images/2/27/MASTER_ARTIST_3_02.jpg
